6510.02136 	0.9669434
6510.04272 	0.9671477
6510.06409 	0.9679825
6510.08545 	0.9692872
6510.10681 	0.9707524
6510.12817 	0.9722022
6510.14954 	0.973626
6510.17090 	0.9746916
6510.19226 	0.9751242
6510.21362 	0.9749542
6510.23499 	0.974109
6510.25635 	0.9727585
6510.27771 	0.9712212
6510.29907 	0.9694763
6510.32043 	0.9676957
6510.34180 	0.9660482
6510.36316 	0.9645627
6510.38452 	0.9634029
6510.40588 	0.9623779
6510.42725 	0.9615197
6510.44861 	0.9610958
6510.46997 	0.9610563
6510.49133 	0.9613912
6510.51270 	0.9617915
6510.53406 	0.9619988
6510.55542 	0.9620208
6510.57678 	0.9621502
6510.59814 	0.9629073
6510.61951 	0.9643044
6510.64087 	0.9659038
6510.66223 	0.9673002
6510.68359 	0.9680658
6510.70496 	0.968064
6510.72632 	0.9675788
6510.74768 	0.9668598
6510.76904 	0.9660399
6510.79041 	0.965323
6510.81177 	0.9649786
6510.83313 	0.9652044
6510.85449 	0.9660086
6510.87585 	0.9672143
6510.89722 	0.9687956
6510.91858 	0.970363
6510.93994 	0.9719028
6510.96130 	0.973289
6510.98267 	0.9744561
6511.00403 	0.9755911
6511.02539 	0.9765133
6511.04675 	0.9771225
6511.06812 	0.9772388
6511.08948 	0.9771046
6511.11084 	0.976958
6511.13220 	0.9768974
6511.15356 	0.9769384
6511.17493 	0.9767938
6511.19629 	0.9762405
6511.21765 	0.9754052
6511.23901 	0.9745235
6511.26038 	0.9737254
6511.28174 	0.973101
6511.30310 	0.9727583
6511.32446 	0.9727238
6511.34583 	0.9731896
6511.36719 	0.9740269
6511.38855 	0.9748964
6511.40991 	0.9753547
6511.43127 	0.9753084
6511.45264 	0.9752066
6511.47400 	0.9754581
6511.49536 	0.9763556
6511.51672 	0.977459
6511.53809 	0.9781574
6511.55945 	0.9778513
6511.58081 	0.9763257
6511.60217 	0.9740058
6511.62354 	0.9714494
6511.64490 	0.9694718
6511.66626 	0.9683892
6511.68762 	0.967902
6511.70898 	0.9676629
6511.73035 	0.9671478
6511.75171 	0.9662474
6511.77307 	0.9652117
6511.79443 	0.9641061
6511.81580 	0.9628793
6511.83716 	0.9614694
6511.85852 	0.9595025
6511.87988 	0.9570923
6511.90125 	0.9542239
6511.92261 	0.9510686
6511.94397 	0.948182
6511.96533 	0.9458431
6511.98669 	0.9440057
6512.00806 	0.942645
6512.02942 	0.9414911
6512.05078 	0.940416
6512.07214 	0.9394746
6512.09351 	0.9386833
6512.11487 	0.9380999
6512.13623 	0.9376692
6512.15759 	0.9373469
6512.17896 	0.9372512
6512.20032 	0.9375917
6512.22168 	0.9385132
6512.24304 	0.9400225
6512.26440 	0.9423541
6512.28577 	0.9454851
6512.30713 	0.9492562
6512.32849 	0.9538871
6512.34985 	0.9587058
6512.37122 	0.9634236
6512.39258 	0.9673791
6512.41394 	0.9702894
6512.43530 	0.9725671
6512.45667 	0.975096
6512.47803 	0.9782964
6512.49939 	0.9821783
6512.52075 	0.9861129
6512.54211 	0.9893777
6512.56348 	0.9920676
6512.58484 	0.9942377
6512.60620 	0.9958453
6512.62756 	0.996954
6512.64893 	0.9974685
6512.67029 	0.9977167
6512.69165 	0.9984563
6512.71301 	1.000028
6512.73438 	1.002331
6512.75574 	1.004814
6512.77710 	1.006577
6512.79846 	1.007682
6512.81982 	1.008235
6512.84119 	1.008662
6512.86255 	1.008962
6512.88391 	1.008848
6512.90527 	1.008192
6512.92664 	1.00692
6512.94800 	1.005288
6512.96936 	1.003366
6512.99072 	1.001529
