#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,OMI CET,000-BBD-706,2458119.50283,4.724,0.035,False,Johnson B,CCD,SAH,,False
2,OMI CET,000-BBD-706,2458119.50756,3.503,0.010,False,Johnson V,CCD,SAH,,False
3,OMI CET,000-BBD-706,2458122.3073,3.499,0.033,False,Johnson V,DSLR,VOL,1.59,True
4,OMI CET,000-BBD-706,2458122.3328,3.460,0.026,False,Johnson V,DSLR,VOL,1.68,True
5,OMI CET,000-BBD-706,2458132.56298,4.666,0.029,False,Johnson B,CCD,SAH,,False
6,OMI CET,000-BBD-706,2458132.56612,3.473,0.013,False,Johnson V,CCD,SAH,,False
7,OMI_CET,000-BBD-706,2458132.69216,3.432,0.041,False,Johnson V,CCD,SFRA,1.677,False
8,OMI CET,000-BBD-706,2458135.61138,3.428,.079,False,Johnson V,CCD,SFRA,1.646,False
9,OMI_CET,000-BBD-706,2458135.68022,3.338,0.030,False,Johnson V,CCD,SFRA,1.645,False
10,OMI CET,000-BBD-706,2458137.2563,3.346,0.014,False,Johnson V,DSLR,VOL,1.56,True
11,OMI CET,000-BBD-706,2458138.2281,3.365,0.008,False,Johnson V,DSLR,VOL,1.53,True
12,OMI CET,000-BBD-706,2458138.2294,3.364,0.019,False,Johnson V,DSLR,VOL,1.53,True
13,OMI CET,000-BBD-706,2458139.52797,4.512,0.058,False,Johnson B,CCD,SAH,,False
14,OMI CET,000-BBD-706,2458139.53181,3.326,0.045,False,Johnson V,CCD,SAH,,False
15,OMI CET,000-BBD-706,2458142.66536,3.364,.082,False,Johnson V,CCD,SFRA,1.670,False
16,OMI CET,000-BBD-706,2458143.2201,3.351,0.030,False,Johnson V,DSLR,VOL,1.53,True
17,OMI CET,000-BBD-706,2458147.64978,3.166,.086,False,Johnson V,CCD,SFRA,1.657,False
18,OMI CET,000-BBD-706,2458148.2224,3.287,0.015,False,Johnson V,DSLR,VOL,1.55,True
19,OMI CET,000-BBD-706,2458148.2236,3.317,0.016,False,Johnson V,DSLR,VOL,1.56,True
20,OMI CET,000-BBD-706,2458150.2489,3.371,0.020,False,Johnson V,DSLR,VOL,1.65,True
21,OMI CET,000-BBD-706,2458154.2933,3.343,0.014,False,Johnson V,DSLR,VOL,2.06,True
22,OMI CET,000-BBD-706,2458154.50948,4.513,0.026,False,Johnson B,CCD,SAH,,False
23,OMI CET,000-BBD-706,2458154.51334,3.260,0.011,False,Johnson V,CCD,SAH,,False
24,OMI CET,000-BBD-706,2458160.59809,4.615,0.088,False,Johnson B,CCD,SAH,,False
25,OMI CET,000-BBD-706,2458160.60121,3.449,0.095,False,Johnson V,CCD,SAH,,False
26,MIRA,000-BBD-706,2458163.29266,3.148,0.034,False,Johnson V,CCD,BDG,2.081,True
27,OMI CET,000-BBD-706,2458174.59923,4.918,0.030,False,Johnson B,CCD,SAH,,False
28,OMI CET,000-BBD-706,2458174.60451,3.523,0.008,False,Johnson V,CCD,SAH,,False
29,OMI CET,000-BBD-706,2458175.2618,3.675,0.015,False,Johnson V,DSLR,VOL,2.46,True
30,OMI CET,000-BBD-706,2458191.2504,4.251,0.079,False,Johnson V,DSLR,VOL,3.42,True
31,OMI CET,000-BBD-706,2458322.88604,10.183,0.021,False,Johnson B,CCD,SAH,,False
32,OMI CET,000-BBD-706,2458322.89722,9.283,0.060,False,Johnson V,CCD,SAH,,False
33,OMI CET,000-BBD-706,2458341.87160,9.459,0.019,False,Johnson V,CCD,SAH,,False
34,OMI CET,000-BBD-706,2458341.88805,10.730,0.058,False,Johnson B,CCD,SAH,,False
35,omi Cet,000-BBD-706,2458371.6909,9.179,0.071,False,Johnson V,DSLR,SHS,2.003,True
36,OMI CET,000-BBD-706,2458371.78897,9.388,0.027,False,Johnson V,CCD,SAH,,False
37,OMI CET,000-BBD-706,2458371.80794,10.616,0.047,False,Johnson B,CCD,SAH,,False
38,OMI CET,000-BBD-706,2458384.75333,9.077,0.019,False,Johnson V,CCD,SAH,,False
39,OMI CET,000-BBD-706,2458384.77065,10.169,0.013,False,Johnson B,CCD,SAH,,False
40,OMI CET,000-BBD-706,2458404.68816,8.645,0.033,False,Johnson V,CCD,SAH,,False
41,OMI CET,000-BBD-706,2458404.70496,9.672,0.035,False,Johnson B,CCD,SAH,,False
42,omi Cet,000-BBD-706,2458406.5868,8.529,0.165,False,Johnson V,DSLR,SHS,2.112,True
43,OMI CET,000-BBD-706,2458409.68717,8.365,0.013,False,Johnson V,CCD,SAH,,False
