#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,BH CRU,000-BCV-591,2458157.0569,13.83,0.04,False,Johnson B,CCD,DSI,,True
2,BH CRU,000-BCV-591,2458157.0569,9.38,0.02,False,Johnson V,CCD,DSI,,True
3,BH CRU,000-BCV-591,2458192.9522,9.269,0.041,False,Johnson V,DSLR,BIW,1.903,True
4,BH CRU,000-BCV-591,2458192.9522,13.624,0.052,False,Johnson B,DSLR,BIW,1.903,True
5,BH CRU,000-BCV-591,2458206.9680,9.119,0.041,False,Johnson V,DSLR,BIW,1.508,True
6,BH CRU,000-BCV-591,2458206.9680,13.699,0.089,False,Johnson B,DSLR,BIW,1.508,True
7,BH CRU,000-BCV-591,2458226.9885,8.771,0.047,False,Johnson V,DSLR,BIW,1.281,True
8,BH CRU,000-BCV-591,2458226.9885,12.824,0.034,False,Johnson B,DSLR,BIW,1.281,True
9,BH CRU,000-BCV-591,2458241.0590,12.69,0.01,False,Johnson B,CCD,DSI,,True
10,BH CRU,000-BCV-591,2458241.0590,8.48,0.01,False,Johnson V,CCD,DSI,,True
11,BH CRU,000-BCV-591,2458252.95,8.255,0.051,False,Johnson V,DSLR,BIW,1.253,True
12,BH CRU,000-BCV-591,2458252.95,12.110,0.034,False,Johnson B,DSLR,BIW,1.253,True
13,BH CRU,000-BCV-591,2458269.93,8.098,0.054,False,Johnson V,DSLR,BIW,1.258,True
14,BH CRU,000-BCV-591,2458269.93,12.013,0.062,False,Johnson B,DSLR,BIW,1.258,True
15,BH CRU,000-BCV-591,2458279.92,8.015,0.046,False,Johnson V,DSLR,BIW,1.266,True
16,BH CRU,000-BCV-591,2458279.92,11.857,0.058,False,Johnson B,DSLR,BIW,1.266,True
17,BH CRU,000-BCV-591,2458288.93,7.896,0.084,False,Johnson V,DSLR,BIW,1.333,True
18,BH CRU,000-BCV-591,2458288.93,11.620,0.058,False,Johnson B,DSLR,BIW,1.333,True
19,BH CRU,000-BCV-591,2458303.91,7.816,0.031,False,Johnson V,DSLR,BIW,1.396,True
20,BH CRU,000-BCV-591,2458303.91,11.639,0.073,False,Johnson B,DSLR,BIW,1.396,True
21,BH CRU,000-BCV-591,2458316.88,7.725,0.042,False,Johnson V,DSLR,BIW,1.408,True
22,BH CRU,000-BCV-591,2458316.88,11.652,0.014,False,Johnson B,DSLR,BIW,1.408,True
23,BH CRU,000-BCV-591,2458331.87,7.667,0.019,False,Johnson V,DSLR,BIW,1.588,True
24,BH CRU,000-BCV-591,2458331.87,11.517,0.034,False,Johnson B,DSLR,BIW,1.588,True
25,BH CRU,000-BCV-591,2458341.88,7.619,0.053,False,Johnson V,DSLR,BIW,1.804,True
26,BH CRU,000-BCV-591,2458341.88,11.267,0.056,False,Johnson B,DSLR,BIW,1.804,True
27,BH CRU,000-BCV-591,2458585.92,8.390,0.018,False,Johnson V,DSLR,BIW,1.568,True
28,BH CRU,000-BCV-591,2458585.92,12.371,0.027,False,Johnson B,DSLR,BIW,1.568,True
29,BH CRU,000-BCV-591,2458608.86,8.756,0.011,False,Johnson V,DSLR,BIW,1.528,True
30,BH CRU,000-BCV-591,2458608.86,13.003,0.064,False,Johnson B,DSLR,BIW,1.528,True
31,BH CRU,000-BCV-591,2458614.86,8.781,0.025,False,Johnson V,DSLR,BIW,1.445,True
32,BH CRU,000-BCV-591,2458614.86,13.554,0.044,False,Johnson B,DSLR,BIW,1.445,True
33,BH CRU,000-BCV-591,2458810.29012,9.332,0.001,False,Johnson V,CCD,YBA,1.978,False
34,BH CRU,000-BCV-591,2458872.32286,8.805,0.001,False,Johnson V,CCD,YBA,1.104,False
35,BH CRU,000-BCV-591,2458961.13102,11.768,0.019,False,Johnson B,CCD,MSD,1.106,True
36,BH CRU,000-BCV-591,2458961.13382,7.680,0.003,False,Johnson V,CCD,MSD,1.107,True
37,BH CRU,000-BCV-591,2458963.92259,11.547,0.016,False,Johnson B,CCD,MSD,1.136,True
38,BH CRU,000-BCV-591,2458971.14556,11.976,0.015,False,Johnson B,CCD,MSD,1.153,True
39,BH CRU,000-BCV-591,2458971.14826,7.742,0.003,False,Johnson V,CCD,MSD,1.157,True
40,BH CRU,000-BCV-591,2458978.08260,12.005,0.017,False,Johnson B,CCD,MSD,1.107,True
41,BH CRU,000-BCV-591,2458978.08534,7.833,0.006,False,Johnson V,CCD,MSD,1.109,True
42,BH CRU,000-BCV-591,2458980.09236,12.103,0.018,False,Johnson B,CCD,MSD,1.116,True
43,BH CRU,000-BCV-591,2458980.09510,7.828,0.006,False,Johnson V,CCD,MSD,1.118,True
44,BH CRU,000-BCV-591,2458983.17354,12.068,0.011,False,Johnson B,CCD,MSD,1.310,True
45,BH CRU,000-BCV-591,2458983.17855,7.851,0.004,False,Johnson V,CCD,MSD,1.327,True
46,BH CRU,000-BCV-591,2458988.04450,12.009,0.015,False,Johnson B,CCD,MSD,1.103,True
47,BH CRU,000-BCV-591,2458988.04939,7.932,0.004,False,Johnson V,CCD,MSD,1.104,True
48,BH CRU,000-BCV-591,2458990.02892,12.081,0.010,False,Johnson B,CCD,MSD,1.101,True
49,BH CRU,000-BCV-591,2458990.03449,8.047,0.007,False,Johnson V,CCD,MSD,1.102,True
50,BH CRU,000-BCV-591,2458995.99743,8.025,0.002,False,Johnson V,CCD,MSD,1.105,True
51,BH CRU,000-BCV-591,2459005.03650,8.102,0.003,False,Johnson V,CCD,MSD,1.242,True
52,BH CRU,000-BCV-591,2459007.99426,8.154,0.003,False,Johnson V,CCD,MSD,1.152,True
53,BH CRU,000-BCV-591,2459018.05309,12.366,0.012,False,Johnson B,CCD,MSD,1.461,True
54,BH CRU,000-BCV-591,2459018.05706,8.242,0.003,False,Johnson V,CCD,MSD,1.480,True
55,BH CRU,000-BCV-591,2459021.09125,12.475,0.013,False,Johnson B,CCD,MSD,1.384,True
56,BH CRU,000-BCV-591,2459021.09628,8.265,0.003,False,Johnson V,CCD,MSD,1.404,True
57,BH CRU,000-BCV-591,2459029.89791,8.351,0.003,False,Johnson V,CCD,MSD,1.091,True
58,BH CRU,000-BCV-591,2459033.06719,12.725,0.019,False,Johnson B,CCD,MSD,1.437,True
59,BH CRU,000-BCV-591,2459033.07207,8.386,0.004,False,Johnson V,CCD,MSD,1.459,True
60,BH CRU,000-BCV-591,2459034.01322,8.713,0.001,False,Johnson V,CCD,KIAB,1.711,False
61,BH CRU,000-BCV-591,2459034.01649,8.716,0.007,False,Johnson V,CCD,KIAB,1.739,False
62,BH CRU,000-BCV-591,2459040.13485,12.764,0.021,False,Johnson B,CCD,MSD,2.183,True
63,BH CRU,000-BCV-591,2459040.14115,8.447,0.004,False,Johnson V,CCD,MSD,2.266,True
64,BH CRU,000-BCV-591,2459042.11532,12.760,0.017,False,Johnson B,CCD,MSD,2.014,True
65,BH CRU,000-BCV-591,2459042.12021,8.449,0.004,False,Johnson V,CCD,MSD,2.066,True
66,BH CRU,000-BCV-591,2459051.08462,12.938,0.019,False,Johnson B,CCD,MSD,1.938,True
67,BH CRU,000-BCV-591,2459051.08965,8.556,0.004,False,Johnson V,CCD,MSD,1.988,True
68,BH CRU,000-BCV-591,2459053.98837,8.439,0.056,False,Johnson V,CCD,KIAB,2.006,False
69,BH CRU,000-BCV-591,2459053.99250,8.471,0.042,False,Johnson V,CCD,KIAB,2.056,False
70,BH CRU,000-BCV-591,2459055.03221,13.032,0.018,False,Johnson B,CCD,MSD,1.579,True
71,BH CRU,000-BCV-591,2459055.03708,8.585,0.004,False,Johnson V,CCD,MSD,1.608,True
72,BH CRU,000-BCV-591,2459060.01480,13.111,0.023,False,Johnson B,CCD,MSD,1.554,True
73,BH CRU,000-BCV-591,2459060.01969,8.639,0.004,False,Johnson V,CCD,MSD,1.582,True
74,BH CRU,000-BCV-591,2459060.89087,13.153,0.024,False,Johnson B,CCD,MSD,1.270,True
75,BH CRU,000-BCV-591,2459060.89481,8.680,0.003,False,Johnson V,CCD,MSD,1.282,True
76,BH CRU,000-BCV-591,2459061.98333,13.239,0.024,False,Johnson B,CCD,MSD,1.409,True
77,BH CRU,000-BCV-591,2459061.98822,8.665,0.004,False,Johnson V,CCD,MSD,1.430,True
78,BH CRU,000-BCV-591,2459088.98591,8.925,0.019,False,Johnson V,CCD,KIAB,1.990,False
79,BH CRU,000-BCV-591,2459088.98632,8.899,0.004,False,Johnson V,CCD,KIAB,1.995,False
80,BH CRU,000-BCV-591,2459088.98683,8.943,0.022,False,Johnson V,CCD,KIAB,2.001,False
81,BH CRU,000-BCV-591,2459088.98735,8.932,0.009,False,Johnson V,CCD,KIAB,2.006,False
82,BH CRU,000-BCV-591,2459088.98771,8.912,0.006,False,Johnson V,CCD,KIAB,2.010,False
83,BH CRU,000-BCV-591,2459088.99698,8.917,0.003,False,Johnson V,CCD,KIAB,2.126,False
84,BH CRU,000-BCV-591,2459088.99729,8.903,0.015,False,Johnson V,CCD,KIAB,2.131,False
