#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,R LEO,000-BBQ-798,2458136.72446,8.911,0.003,False,Johnson V,CCD,SDI,1.247,False
2,R LEO,000-BBQ-798,2458140.412,8.765,0.026,False,Johnson V,DSLR,BMAI,,True
3,R LEO,000-BBQ-798,2458174.3159,7.514,0.029,False,Johnson V,DSLR,VOL,1.589,True
4,R LEO,000-BBQ-798,2458175.4020,7.475,0.027,False,Johnson V,DSLR,VOL,1.266,True
5,R LEO,000-BBQ-798,2458175.56472,7.474,.015,False,Johnson V,DSLR,FRL,1.70,True
6,R LEO,000-BBQ-798,2458186.3212,6.461,0.008,False,Johnson V,DSLR,VOL,1.389,True
7,R LEO,000-BBQ-798,2458186.3231,6.466,0.015,False,Johnson V,DSLR,VOL,1.381,True
8,R LEO,000-BBQ-798,2458191.3568,5.832,0.014,False,Johnson V,DSLR,VOL,1.268,True
9,R LEO,000-BBQ-798,2458191.3579,5.803,0.016,False,Johnson V,DSLR,VOL,1.267,True
10,R LEO,000-BBQ-798,2458199.2700,5.280,0.010,False,Johnson V,DSLR,VOL,1.457,True
11,R LEO,000-BBQ-798,2458199.325,5.603,0.09,False,Johnson V,CCD,TUB,"1,18",False
12,R LEO,000-BBQ-798,2458200.29444,5.262,0.05,False,Johnson V,CCD,TUB,"1,18",False
13,R LEO,000-BBQ-798,2458202.2844,5.207,0.010,False,Johnson V,DSLR,VOL,1.364,True
14,R LEO,000-BBQ-798,2458203.2998,5.172,0.013,False,Johnson V,DSLR,VOL,1.312,True
15,R LEO,000-BBQ-798,2458211.2964,5.216,0.006,False,Johnson V,DSLR,VOL,1.276,True
16,R LEO,000-BBQ-798,2458215.29166,5.33,0.07,False,Johnson V,CCD,TUB,"1,18",False
17,R LEO,000-BBQ-798,2458215.3319,5.304,0.020,False,Johnson V,DSLR,VOL,1.252,True
18,R LEO,000-BBQ-798,2458216.3295,5.301,0.020,False,Johnson V,DSLR,VOL,1.252,True
19,R LEO,000-BBQ-798,2458221.3171,5.502,0.010,False,Johnson V,DSLR,VOL,1.253,True
20,R LEO,000-BBQ-798,2458222.30625,5.468,0.06,False,Johnson V,CCD,TUB,"1,18",False
21,R LEO,000-BBQ-798,2458223.645775,5.564,0.01,False,Johnson V,CCD,GDJA,,False
22,R LEO,000-BBQ-798,2458226.364,6.23,,False,Johnson V,CCD,BOA,,False
23,R LEO,000-BBQ-798,2458227.3041,5.721,0.013,False,Johnson V,DSLR,VOL,1.255,True
24,R LEO,000-BBQ-798,2458227.3125,5.649,0.07,False,Johnson V,CCD,TUB,"1,18",False
25,R LEO,000-BBQ-798,2458227.361,6.22,,False,Johnson V,CCD,BOA,,False
26,R LEO,000-BBQ-798,2458229.3,5.632,0.13,False,Johnson V,CCD,TUB,"1,16",False
27,R LEO,000-BBQ-798,2458229.3094,5.793,0.009,False,Johnson V,DSLR,VOL,1.264,True
28,R LEO,000-BBQ-798,2458230.630278,5.824,0.01,False,Johnson V,DSLR,GDJA,,False
29,R LEO,000-BBQ-798,2458235.3074,6.030,0.012,False,Johnson V,DSLR,VOL,1.284,True
30,R LEO,000-BBQ-798,2458236.32638,5.737,0.07,False,Johnson V,CCD,TUB,"1,18",False
31,R LEO,000-BBQ-798,2458237.09722,6.4,,False,Johnson V,CCD,TYGA,,False
32,R LEO,000-BBQ-798,2458239.3288,6.148,0.014,False,Johnson V,DSLR,VOL,1.366,True
33,R LEO,000-BBQ-798,2458239.56813,6.151,.037,False,Johnson V,DSLR,FRL,1.21,True
34,R LEO,000-BBQ-798,2458242.32777,6.198,0.12,False,Johnson V,CCD,TUB,"1,18",False
35,R LEO,000-BBQ-798,2458244.32777,6.298,0.05,False,Johnson V,CCD,TUB,"1,18",False
36,R LEO,000-BBQ-798,2458244.3289,6.278,0.014,False,Johnson V,DSLR,VOL,1.418,True
