#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1031,R SCT,000-BCD-304,2460533.05316,6.843,0.002,False,Johnson B,CCD,MSD,1.241,True
1032,R SCT,000-BCD-304,2460533.05598,5.416,0.002,False,Johnson V,CCD,MSD,1.247,True
1033,R Sct,000-BCD-304,2460533.4021,7.1,0.1,False,Johnson B,DSLR,CTIA,1.6,True
1034,R Sct,000-BCD-304,2460533.4021,5.41,0.04,False,Johnson V,DSLR,CTIA,1.6,True
1035,R SCT,000-BCD-304,2460533.69806,6.850,0.003,False,Johnson B,CCD,MSD,1.243,True
1036,R SCT,000-BCD-304,2460533.70017,5.336,0.003,False,Johnson V,CCD,MSD,1.244,True
1037,R SCT,000-BCD-304,2460534.69672,6.822,0.003,False,Johnson B,CCD,MSD,1.244,True
1038,R SCT,000-BCD-304,2460534.69889,5.354,0.003,False,Johnson V,CCD,MSD,1.245,True
1039,R SCT,000-BCD-304,2460536.08802,6.807,0.002,False,Johnson B,CCD,MSD,1.420,True
1040,R SCT,000-BCD-304,2460536.09087,5.383,0.002,False,Johnson V,CCD,MSD,1.433,True
1041,R SCT,000-BCD-304,2460537.02697,6.762,0.004,False,Johnson B,CCD,MSD,1.206,True
1042,R SCT,000-BCD-304,2460537.02962,5.338,0.003,False,Johnson V,CCD,MSD,1.210,True
1043,R Sct,000-BCD-304,2460537.62474,5.307,0.085,False,Johnson V,DSLR,CRR,1.540,True
1044,R Sct,000-BCD-304,2460537.62474,6.684,0.220,False,Johnson B,DSLR,CRR,1.540,True
1045,R SCT,000-BCD-304,2460544.41447,6.801,0.005,False,Johnson B,CCD,TJV,1.576,False
1046,R SCT,000-BCD-304,2460544.79191,6.926,0.004,False,Johnson B,CCD,MSD,1.972,True
1047,R SCT,000-BCD-304,2460544.79421,5.394,0.003,False,Johnson V,CCD,MSD,2.003,True
1048,R SCT,000-BCD-304,2460545.66593,6.787,0.003,False,Johnson B,CCD,MSD,1.243,True
1049,R SCT,000-BCD-304,2460545.66796,5.323,0.003,False,Johnson V,CCD,MSD,1.244,True
1050,R SCT,000-BCD-304,2460546.32464,6.776,0.013,False,Johnson B,CCD,TJV,1.598,False
1051,R SCT,000-BCD-304,2460546.64998,6.770,0.003,False,Johnson B,CCD,MSD,1.238,True
1052,R SCT,000-BCD-304,2460546.65212,5.363,0.003,False,Johnson V,CCD,MSD,1.238,True
1053,R SCT,000-BCD-304,2460547.65682,6.750,0.003,False,Johnson B,CCD,MSD,1.241,True
1054,R SCT,000-BCD-304,2460547.65903,5.359,0.003,False,Johnson V,CCD,MSD,1.242,True
1055,R Sct,000-BCD-304,2460548.57160,5.326,0.054,False,Johnson V,DSLR,CRR,1.517,True
1056,R Sct,000-BCD-304,2460548.57160,6.832,0.110,False,Johnson B,DSLR,CRR,1.517,True
1057,R SCT,000-BCD-304,2460548.64556,6.692,0.003,False,Johnson B,CCD,MSD,1.238,True
