#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,W Hya,000-BBT-975,2458218.6479,8.392,0.063,False,Johnson V,DSLR,SHS,3.915,True
2,W Hya,000-BBT-975,2458244.5687,8.400,0.349,False,Johnson V,DSLR,SHS,4.097,True
3,W Hya,000-BBT-975,2458257.5625,8.343,0.184,False,Johnson V,DSLR,SHS,3.601,True
4,W Hya,000-BBT-975,2458285.5791,8.221,0.084,False,Johnson V,DSLR,SHS,4.019,True
5,W Hya,000-BBT-975,2458604.6048,8.425,0.225,False,Johnson V,DSLR,SHS,3.690,True
6,W Hya,000-BBT-975,2458643.5923,8.670,0.128,False,Johnson V,DSLR,SHS,3.882,True
7,W Hya,000-BBT-975,2458963.5798,8.103,0.059,False,Johnson V,DSLR,SHS,4.768,True
8,W Hya,000-BBT-975,2458984.6083,8.284,0.012,False,Johnson V,DSLR,SHS,3.433,True
9,W Hya,000-BBT-975,2458997.5694,8.613,0.112,False,Johnson V,DSLR,SHS,3.432,True
10,W Hya,000-BBT-975,2459019.5895,8.726,0.087,False,Johnson V,DSLR,SHS,4.624,True
11,1343-27,000-BBT-975,2459336.5652,7.518,0.094,False,Johnson V,DSLR,SHS,4.507,True
12,1343-27,000-BBT-975,2459350.5548,7.847,0.131,False,Johnson V,DSLR,SHS,3.805,True
13,1343-27,000-BBT-975,2459378.5805,8.397,0.199,False,Johnson V,DSLR,SHS,3.892,True
14,1343-27,000-BBT-975,2459390.5715,8.560,0.187,False,Johnson V,DSLR,SHS,4.535,True
15,1343-27,000-BBT-975,2459702.5555,6.954,0.031,False,Johnson V,DSLR,SHS,4.815,True
16,1343-27,000-BBT-975,2459717.5750,7.401,0.284,False,Johnson V,DSLR,SHS,3.515,True
17,1343-27,000-BBT-975,2459737.5722,7.799,0.154,False,Johnson V,DSLR,SHS,,True
18,1343-27,000-BBT-975,2459756.5812,7.884,0.149,False,Johnson V,DSLR,SHS,5.050,True
