jd,time,mag,band,ra,dec,angDist,src_table,time_col_name,time_scale
2451541.0,277.0,12.247,r,69.3252797222222,1.079562222222222,0.08326900364936231,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.813,r,69.37592666666666,0.9512341666666665,0.08348535846982107,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.594,r,69.26906138888889,1.0727241666666665,0.08350041471483129,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,12.978,r,69.39165138888887,1.012221111111111,0.08578884505884832,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.425,r,69.23717388888888,1.0489752777777777,0.08623676665285557,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.619,r,69.22281055555554,0.9785358333333332,0.08645485904586651,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,13.957,r,69.39175472222222,0.9799233333333331,0.0867352349363348,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.268,r,69.21745666666666,1.009117222222222,0.09015949045087185,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,13.901,r,69.22287666666665,0.9604174999999998,0.09224331131409984,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.121,r,69.399065,1.0089091666666665,0.09267494946840615,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,17.414,r,69.21514638888888,0.9822913888888888,0.09321171206721758,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.496,r,69.36372305555554,1.0741527777777775,0.09469911264274823,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.899,r,69.30772416666666,0.9027258333333332,0.09560485673805702,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,15.698,r,69.36958999999999,0.9252102777777776,0.096254001381788,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,11.607,r,69.39671388888888,1.0346494444444443,0.09679123060963914,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.678,r,69.38812333333333,0.9453072222222221,0.09691856135493311,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,15.182,r,69.3169547222222,0.9018619444444443,0.09697985067166115,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.921,r,69.30690416666665,0.9007677777777776,0.09756006324542649,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.028,r,69.40111166666665,0.9693116666666666,0.09848716747112883,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.263,r,69.20898833333332,0.9874722222222221,0.09857847156288485,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,14.674,r,69.33191416666666,1.0963638888888887,0.10115571589422587,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,10.535,r,69.20661916666666,0.9667655555555554,0.10519462007335521,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.005,r,69.28606833333332,1.1016627777777777,0.10542935640247261,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.136,r,69.2468275,1.0861377777777776,0.10643286137780808,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,11.736,r,69.26829416666666,1.1010958333333332,0.10980669734743692,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,17.074,r,69.21413249999999,1.0608922222222221,0.11194885939183062,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,17.261,r,69.40747499999999,0.9489372222222221,0.11196142500093134,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.122,r,69.20726138888888,0.9462297222222221,0.11249685805373466,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,14.072,r,69.27653583333333,0.8892319444444443,0.11326351556199395,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,15.347,r,69.41040416666665,1.0469925,0.11428470105306927,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.732,r,69.2131225,0.9319838888888887,0.11492874880341157,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,17.119,r,69.42155999999999,1.013631111111111,0.11557796938084987,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.247,r,69.42308472222221,1.0039152777777776,0.116219411212264,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,13.468,r,69.2101575,0.932524722222222,0.11705709625151703,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.585,r,69.40736388888888,1.0588294444444444,0.11719098675892016,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,16.525,r,69.39953166666666,0.9204174999999999,0.12096717872164003,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,13.278,r,69.35081972222221,0.8836988888888888,0.12272334020115944,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,13.444,r,69.19013499999998,1.035913611111111,0.12272573692489322,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
