#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,S VIR,000-BBT-732,2458166.8533,10.06,0.01,False,Johnson V,CCD,MDW,1.642,False
2,S Vir,000-BBT-732,2458198.5576,8.254,0.082,False,Johnson V,DSLR,SHS,5.519,True
3,S VIR,000-BBT-732,2458217.36667,7.24,0.05,False,Johnson V,CCD,TIA,,False
4,S Vir,000-BBT-732,2458218.6430,7.340,0.042,False,Johnson V,DSLR,SHS,1.715,True
5,S VIR,000-BBT-732,2458226.507,7.33,,False,Johnson V,CCD,BOA,,False
6,S VIR,000-BBT-732,2458227.505,7.41,,False,Johnson V,CCD,BOA,,False
7,S VIR,000-BBT-732,2458228.58809,7.063,.06,False,Johnson V,DSLR,FRL,2.28,True
8,S VIR,000-BBT-732,2458229.31180,7.359,0.12,False,Johnson V,CCD,TUB,"2,56",False
9,S VIR,000-BBT-732,2458242.7625,6.8,0.05,False,Johnson V,CCD,CK,,False
10,S Vir,000-BBT-732,2458244.5652,7.155,0.029,False,Johnson V,DSLR,SHS,1.744,True
11,S Vir,000-BBT-732,2458257.5611,7.468,0.054,False,Johnson V,DSLR,SHS,1.640,True
12,S VIR,000-BBT-732,2458266.61353,7.694,.0012,False,Johnson V,DSLR,FRL,1.62,True
13,S Vir,000-BBT-732,2458285.5763,8.465,0.069,False,Johnson V,DSLR,SHS,1.810,True
14,S VIR,000-BBT-732,2458518.97459,10.507,0.033,False,Johnson V,CCD,DSN,1.449,False
15,S VIR,000-BBT-732,2458571.94851,9.615,0.002,False,Johnson V,CCD,BWY,,True
16,S VIR,000-BBT-732,2458571.94878,10.214,0.002,False,Johnson B,CCD,BWY,,True
17,S VIR,000-BBT-732,2458572.69570,9.580,0.015,False,Johnson V,CCD,HBB,1.400,True
18,S VIR,000-BBT-732,2458572.69601,11.249,0.015,False,Johnson B,CCD,HBB,1.400,True
19,S VIR,000-BBT-732,2458580.77641,8.665,0.036,False,Johnson V,CCD,MZK,1.650,False
20,S Vir,000-BBT-732,2458585.5493,8.487,0.067,False,Johnson V,DSLR,SHS,2.703,True
21,S Vir,000-BBT-732,2458604.6013,7.049,0.017,False,Johnson V,DSLR,SHS,1.667,True
22,S VIR,000-BBT-732,2458624.34028,6.943,0.02,False,Johnson V,CCD,TUB,"1,18",False
23,S VIR,000-BBT-732,2458642.34722,7.205,0.04,False,Johnson V,CCD,TUB,"1,18",False
24,S Vir,000-BBT-732,2458643.5888,7.403,0.082,False,Johnson V,DSLR,SHS,1.770,True
25,S Vir,000-BBT-732,2458650.06944,8.4,,False,Johnson V,CCD,TYGA,,False
26,S Vir,000-BBT-732,2458656.03819,9.0,,False,Johnson V,CCD,TYGA,,False
27,S VIR,000-BBT-732,2458659.35556,8.011,0.02,False,Johnson V,CCD,TUB,"2,4",False
28,S Vir,000-BBT-732,2458690.5555,9.092,0.090,False,Johnson V,DSLR,SHS,3.264,True
29,S VIR,000-BBT-732,2458877.88143,11.793,0.028,False,Johnson V,CCD,HBB,1.320,True
30,S VIR,000-BBT-732,2458877.88232,13.949,0.041,False,Johnson B,CCD,HBB,1.320,True
31,S VIR,000-BBT-732,2458931.27233,10.681,0.181,False,Johnson V,CCD,YBA,1.122,False
32,S VIR,000-BBT-732,2458932.87433,10.839,0.027,False,Johnson V,CCD,BWY,,True
33,S VIR,000-BBT-732,2458932.87476,12.676,0.025,False,Johnson B,CCD,BWY,,True
34,S Vir,000-BBT-732,2458963.5493,8.518,0.024,False,Johnson V,DSLR,SHS,2.107,True
35,S Vir,000-BBT-732,2458984.6048,7.401,0.006,False,Johnson V,DSLR,SHS,1.629,True
36,S VIR,000-BBT-732,2458994.7507,6.9,0.10,False,Johnson V,CCD,CK,,False
37,S Vir,000-BBT-732,2458997.5680,7.584,0.033,False,Johnson V,DSLR,SHS,1.628,True
38,S VIR,000-BBT-732,2459012.36667,7.900,0.01,False,Johnson V,CCD,TUB,,False
39,S VIR,000-BBT-732,2459013.09722,8.4,,False,Johnson V,CCD,TYGA,,False
40,S Vir,000-BBT-732,2459019.5909,8.180,0.046,False,Johnson V,DSLR,SHS,1.996,True
41,S VIR,000-BBT-732,2459020.03472,9.2,,False,Johnson V,CCD,TYGA,,False
42,S VIR,000-BBT-732,2459024.37778,8.183,0.01,False,Johnson V,CCD,TUB,,False
43,S VIR,000-BBT-732,2459035.03194,9.0,,False,Johnson V,CCD,TYGA,,False
44,S VIR,000-BBT-732,2459040.35278,9.178,0.01,False,Johnson V,CCD,TUB,,False
45,S Vir,000-BBT-732,2459041.5694,8.712,0.040,False,Johnson V,DSLR,SHS,2.550,True
46,S VIR,000-BBT-732,2459042.01250,9.5,,False,Johnson V,CCD,TYGA,,False
47,S VIR,000-BBT-732,2459054.07986,9.5,,False,Johnson V,CCD,TYGA,,False
48,S VIR,000-BBT-732,2459201.9498,12.68,0.02,False,Johnson V,CCD,MDW,1.861,False
49,S VIR,000-BBT-732,2459256.88081,11.513,0.016,False,Johnson V,CCD,HBB,1.240,True
50,S VIR,000-BBT-732,2459256.88166,13.735,0.027,False,Johnson B,CCD,HBB,1.240,True
51,S VIR,000-BBT-732,2459289.18024,10.475,0.007,False,Johnson V,CCD,NCH,1.097,False
52,S VIR,000-BBT-732,2459289.18147,12.048,0.014,False,Johnson B,CCD,NCH,1.098,False
53,S Vir,000-BBT-732,2459326.30417,9.04,0.05,False,Johnson V,CCD,TIA,,False
54,1327-06,000-BBT-732,2459336.5645,8.604,0.005,False,Johnson V,DSLR,SHS,1.800,True
55,S VIR,000-BBT-732,2459344.37431,7.502,0.01,False,Johnson V,CCD,TUB,,False
56,S VIR,000-BBT-732,2459350.15069,8.2,,False,Johnson V,CCD,TYGA,,False
57,S VIR,000-BBT-732,2459358.69058,6.872,0.001,False,Johnson V,CCD,BSEC,1.985,False
58,S VIR,000-BBT-732,2459358.69265,8.183,0.002,False,Johnson B,CCD,BSEC,2.005,False
59,S VIR,000-BBT-732,2459358.69346,6.863,0.001,False,Johnson V,CCD,BSEC,2.013,False
60,S VIR,000-BBT-732,2459358.69727,6.845,0.001,False,Johnson V,CCD,BSEC,2.051,False
61,S VIR,000-BBT-732,2459358.69803,8.225,0.002,False,Johnson B,CCD,BSEC,2.059,False
62,S VIR,000-BBT-732,2459369.37431,6.808,0.01,False,Johnson V,CCD,TUB,,False
63,1327-06,000-BBT-732,2459378.5798,6.777,0.085,False,Johnson V,DSLR,SHS,1.788,True
64,1327-06,000-BBT-732,2459390.5729,7.003,0.021,False,Johnson V,DSLR,SHS,1.974,True
65,1327-06,000-BBT-732,2459420.5465,7.949,0.030,False,Johnson V,DSLR,SHS,2.934,True
66,S VIR,000-BBT-732,2459660.07199,11.083,0.030,False,Johnson V,CCD,YBA,2.169,False
67,1327-06,000-BBT-732,2459702.5548,10.384,0.169,False,Johnson V,DSLR,SHS,1.847,True
68,S Vir,000-BBT-732,2459709.35348,9.852,0.010,False,Johnson V,CCD,PJMB,,False
69,1327-06,000-BBT-732,2459717.5729,9.593,0.052,False,Johnson V,DSLR,SHS,1.633,True
70,S VIR,000-BBT-732,2459725.35450,8.810,0.013,False,Johnson V,CCD,TJV,1.654,True
71,S VIR,000-BBT-732,2459725.35804,10.182,0.013,False,Johnson B,CCD,TJV,1.642,True
72,S VIR,000-BBT-732,2459733.7569,7.9,0.1,False,Johnson V,CCD,CK,,False
73,S Vir,000-BBT-732,2459736.31944,7.54,0.01,False,Johnson V,CCD,SYRA,,False
74,1327-06,000-BBT-732,2459737.5743,8.003,0.034,False,Johnson V,DSLR,SHS,1.690,True
75,1327-06,000-BBT-732,2459746.5729,7.624,0.023,False,Johnson V,DSLR,SHS,1.791,True
76,1327-06,000-BBT-732,2459756.5833,7.320,0.081,False,Johnson V,DSLR,SHS,2.103,True
77,1327-06,000-BBT-732,2459771.5715,7.146,0.042,False,Johnson V,DSLR,SHS,2.566,True
78,1327-06,000-BBT-732,2459791.5555,7.703,0.011,False,Johnson V,DSLR,SHS,3.955,True
79,S VIR,000-BBT-732,2459798.6458,7.3,0.1,False,Johnson V,CCD,CK,,False
80,S VIR,000-BBT-732,2460089.40471,10.459,0.0056,False,Johnson V,CCD,JPG,,False
81,S VIR,000-BBT-732,2460089.40994,12.401,0.0172,False,Johnson B,CCD,JPG,,False
82,S VIR,000-BBT-732,2460103.32549,9.545,0.0035,False,Johnson V,CCD,JPG,,False
83,S VIR,000-BBT-732,2460103.32896,11.324,0.0093,False,Johnson B,CCD,JPG,,False
84,S  VIR,000-BBT-732,2460140.99375,8.6,,False,Johnson V,CCD,TYGA,,False
85,S VIR,000-BBT-732,2460345.94141,12.484,0.016,False,Johnson V,CCD,MZK,1.3,True
86,S VIR,000-BBT-732,2460413.40113,10.939,0.012,False,Johnson V,CCD,TJV,2.201,False
87,S VIR,000-BBT-732,2460420.40347,10.591,0.010,False,Johnson V,CCD,TJV,1.948,False
88,S VIR,000-BBT-732,2460430.42544,10.130,0.020,False,Johnson V,CCD,TJV,1.649,False
